Wert1,Wert2,Wert3,Wert4,Wert5
"1,001","8,29E-02","0,000071","2,071016E+01","1,772811E-02"
"2,039","8,30E-02","0,000071","2,071271E+01","1,772810E-02"
"3,079","8,30E-02","0,000071","2,072430E+01","1,772809E-02"
"4,131","8,30E-02","0,000071","2,072695E+01","1,772808E-02"
"5,135","8,30E-02","0,000071","2,071534E+01","1,772810E-02"
"6,141","8,30E-02","0,000071","2,071779E+01","1,772810E-02"
"7,161","8,30E-02","0,000071","2,071244E+01","1,772810E-02"
"8,173","8,29E-02","0,000071","2,070370E+01","1,772812E-02"
"9,191","8,29E-02","0,000071","2,070587E+01","1,772811E-02"
"10,212","8,29E-02","0,000071","2,070817E+01","1,772811E-02"
"11,226","8,29E-02","0,000071","2,071028E+01","1,772811E-02"
"12,23","8,28E-02","0,000071","2,067359E+01","1,772816E-02"
"13,239","8,28E-02","0,000071","2,066375E+01","1,772818E-02"
"14,263","8,27E-02","0,000071","2,065904E+01","1,772818E-02"
"15,288","8,27E-02","0,000071","2,065875E+01","1,772818E-02"
"16,293","8,26E-02","0,000071","2,063128E+01","1,772823E-02"
"17,303","8,28E-02","0,000071","2,066294E+01","1,772818E-02"
"18,313","8,27E-02","0,000071","2,065016E+01","1,772820E-02"
"19,332","8,27E-02","0,000071","2,065799E+01","1,772819E-02"
"20,344","8,26E-02","0,000071","2,063153E+01","1,772823E-02"
"21,36","8,26E-02","0,000071","2,062407E+01","1,772824E-02"
"22,375","8,26E-02","0,000071","2,061905E+01","1,772824E-02"
"23,38","8,25E-02","0,000071","2,061189E+01","1,772825E-02"
"24,391","8,26E-02","0,000071","2,061285E+01","1,772825E-02"
"25,412","8,25E-02","0,000071","2,060125E+01","1,772827E-02"
"26,417","8,25E-02","0,000071","2,060136E+01","1,772827E-02"
"27,429","8,24E-02","0,000071","2,058537E+01","1,772829E-02"
"28,438","8,24E-02","0,000071","2,056543E+01","1,772832E-02"
"29,46","8,23E-02","0,000071","2,055387E+01","1,772834E-02"
"30,471","8,23E-02","0,000071","2,054675E+01","1,772835E-02"
"31,489","8,22E-02","0,000071","2,052786E+01","1,772838E-02"
"32,496","8,21E-02","0,000071","2,050807E+01","1,772841E-02"
"33,506","8,21E-02","0,000071","2,050971E+01","1,772841E-02"
"34,516","8,21E-02","0,000071","2,048898E+01","1,772844E-02"
"35,524","8,21E-02","0,000071","2,049279E+01","1,772843E-02"
"36,531","8,21E-02","0,000071","2,049664E+01","1,772843E-02"
"37,54","8,20E-02","0,000071","2,048142E+01","1,772845E-02"
"38,545","8,20E-02","0,00007","2,046395E+01","1,747878E-02"
"39,555","8,19E-02","0,00007","2,044299E+01","1,747881E-02"
"40,559","8,19E-02","0,00007","2,043932E+01","1,747882E-02"
"41,586","8,19E-02","0,00007","2,043916E+01","1,747882E-02"
"42,595","8,19E-02","0,00007","2,044197E+01","1,747881E-02"
"43,616","8,18E-02","0,00007","2,041555E+01","1,747885E-02"
"44,62","8,17E-02","0,00007","2,038844E+01","1,747889E-02"
"45,618","8,16E-02","0,00007","2,038778E+01","1,747890E-02"
"46,625","8,16E-02","0,00007","2,038753E+01","1,747890E-02"
"47,642","8,16E-02","0,00007","2,038369E+01","1,747890E-02"
"48,658","8,15E-02","0,00007","2,035949E+01","1,747894E-02"
"49,674","8,15E-02","0,00007","2,035314E+01","1,747895E-02"
"50,683","8,15E-02","0,00007","2,034985E+01","1,747895E-02"
"51,694","8,14E-02","0,00007","2,033273E+01","1,747898E-02"
"52,699","8,13E-02","0,00007","2,030896E+01","1,747902E-02"
"53,724","8,13E-02","0,00007","2,030513E+01","1,747902E-02"
"54,729","8,12E-02","0,00007","2,026991E+01","1,747908E-02"
"55,734","8,11E-02","0,00007","2,024125E+01","1,747912E-02"
"56,749","8,11E-02","0,00007","2,024957E+01","1,747911E-02"
"57,77","8,10E-02","0,00007","2,023398E+01","1,747913E-02"
"58,781","8,10E-02","0,00007","2,022682E+01","1,747914E-02"
"59,796","8,10E-02","0,00007","2,021453E+01","1,747916E-02"
"60,812","8,08E-02","0,00007","2,018423E+01","1,747921E-02"
"61,83","8,08E-02","0,00007","2,017836E+01","1,747922E-02"
"62,845","8,08E-02","0,00007","2,016513E+01","1,747924E-02"
"63,853","8,07E-02","0,00007","2,015893E+01","1,747925E-02"
"64,855","8,07E-02","0,00007","2,014979E+01","1,747926E-02"
"65,882","8,06E-02","0,00007","2,011877E+01","1,747931E-02"
"66,893","8,05E-02","0,00007","2,010370E+01","1,747933E-02"
"67,914","8,04E-02","0,00007","2,008761E+01","1,747936E-02"
"68,92","8,04E-02","0,00007","2,007207E+01","1,747938E-02"
70,"8,04E-02","0,00007","2,007326E+01","1,747938E-02"
"71,042","8,03E-02","0,00007","2,005265E+01","1,747941E-02"
"72,094","8,03E-02","0,00007","2,004277E+01","1,747943E-02"
"73,104","8,02E-02","0,00007","2,001864E+01","1,747946E-02"
"74,102","8,01E-02","0,00007","2,000415E+01","1,747949E-02"
"75,109","8,01E-02","0,00007","2,000238E+01","1,747949E-02"
"76,12","8,00E-02","0,00007","1,998876E+01","1,747951E-02"
"77,134","8,00E-02","0,00007","1,997402E+01","1,747953E-02"
"78,136","7,99E-02","0,00007","1,994948E+01","1,747957E-02"
"79,141","7,98E-02","0,00007","1,992666E+01","1,747961E-02"
"80,156","7,98E-02","0,00007","1,992377E+01","1,747961E-02"
"81,158","7,97E-02","0,00007","1,990980E+01","1,747964E-02"
"82,167","7,97E-02","0,00007","1,989806E+01","1,747965E-02"
"83,171","7,96E-02","0,00007","1,987659E+01","1,747969E-02"
"84,195","7,95E-02","0,00007","1,985075E+01","1,747973E-02"
"85,2","7,94E-02","0,00007","1,983575E+01","1,747975E-02"
"86,21","7,95E-02","0,00007","1,984580E+01","1,747974E-02"
"87,221","7,94E-02","0,00007","1,982239E+01","1,747977E-02"
"88,253","7,93E-02","0,00007","1,980534E+01","1,747980E-02"
"89,262","7,92E-02","0,00007","1,978244E+01","1,747984E-02"
"90,266","7,92E-02","0,00007","1,977803E+01","1,747985E-02"
"91,283","7,91E-02","0,00007","1,975834E+01","1,747988E-02"
"92,304","7,90E-02","0,00007","1,973558E+01","1,747991E-02"
"93,312","7,89E-02","0,00007","1,971403E+01","1,747995E-02"
"94,321","7,89E-02","0,00007","1,970823E+01","1,747996E-02"
"95,329","7,89E-02","0,00007","1,969825E+01","1,747997E-02"
"96,342","7,88E-02","0,00007","1,968030E+01","1,748000E-02"
"97,357","7,88E-02","0,00007","1,967160E+01","1,748002E-02"
"98,369","7,87E-02","0,00007","1,965303E+01","1,748005E-02"
