Zeit,Wert2,Wert3,Temperatur,Wert5
"0,992","2,12E-02","0,000031","5,33E+00","7,779444E-03"
"2,014","2,13E-02","0,000031","5,34E+00","7,779284E-03"
"3,032","2,12E-02","0,000031","5,33E+00","7,779400E-03"
"4,05","2,12E-02","0,000031","5,33E+00","7,779427E-03"
"5,054","2,12E-02","0,000031","5,33E+00","7,779436E-03"
"6,059","2,12E-02","0,000031","5,31E+00","7,779555E-03"
"7,079","2,11E-02","0,000031","5,30E+00","7,779660E-03"
"8,083","2,11E-02","0,000031","5,31E+00","7,779623E-03"
"9,085","2,10E-02","0,000031","5,28E+00","7,779874E-03"
"10,087","2,10E-02","0,000031","5,27E+00","7,779987E-03"
"11,107","2,10E-02","0,000031","5,27E+00","7,780011E-03"
"12,126","2,10E-02","0,000031","5,27E+00","7,780038E-03"
"13,132","2,09E-02","0,000031","5,24E+00","7,780293E-03"
"14,134","2,09E-02","0,000031","5,23E+00","7,780358E-03"
"15,154","2,09E-02","0,000031","5,25E+00","7,780230E-03"
"16,172","2,09E-02","0,000031","5,25E+00","7,780206E-03"
"17,176","2,08E-02","0,000031","5,23E+00","7,780394E-03"
"18,178","2,09E-02","0,000031","5,25E+00","7,780214E-03"
"19,196","2,09E-02","0,000031","5,25E+00","7,780224E-03"
"20,2","2,09E-02","0,000031","5,25E+00","7,780189E-03"
"21,212","2,10E-02","0,000031","5,26E+00","7,780079E-03"
"22,21","2,10E-02","0,000031","5,27E+00","7,780045E-03"
"23,222","2,10E-02","0,000031","5,26E+00","7,780092E-03"
"24,226","2,10E-02","0,000031","5,26E+00","7,780082E-03"
"25,232","2,10E-02","0,000031","5,28E+00","7,779948E-03"
"26,25","2,10E-02","0,000031","5,28E+00","7,779943E-03"
"27,26","2,10E-02","0,000031","5,28E+00","7,779923E-03"
"28,276","2,10E-02","0,000031","5,28E+00","7,779904E-03"
"29,298","2,10E-02","0,000031","5,28E+00","7,779946E-03"
"30,304","2,10E-02","0,000031","5,28E+00","7,779920E-03"
"31,308","2,10E-02","0,000031","5,28E+00","7,779897E-03"
"32,326","2,10E-02","0,000031","5,27E+00","7,779956E-03"
"33,348","2,10E-02","0,000031","5,27E+00","7,779966E-03"
"34,35","2,10E-02","0,000031","5,28E+00","7,779876E-03"
"35,352","2,10E-02","0,000031","5,28E+00","7,779873E-03"
"36,372","2,11E-02","0,000031","5,29E+00","7,779751E-03"
"37,394","2,11E-02","0,000031","5,30E+00","7,779697E-03"
"38,41","2,11E-02","0,000031","5,30E+00","7,779694E-03"
"39,414","2,11E-02","0,000031","5,30E+00","7,779696E-03"
"40,416","2,11E-02","0,000031","5,30E+00","7,779729E-03"
"41,438","2,11E-02","0,000031","5,30E+00","7,779661E-03"
"42,456","2,11E-02","0,000031","5,30E+00","7,779657E-03"
"43,46","2,11E-02","0,000031","5,29E+00","7,779801E-03"
"44,462","2,11E-02","0,000031","5,29E+00","7,779774E-03"
"45,464","2,11E-02","0,000031","5,30E+00","7,779672E-03"
"46,484","2,11E-02","0,000031","5,29E+00","7,779748E-03"
"47,504","2,11E-02","0,000031","5,29E+00","7,779769E-03"
"48,506","2,10E-02","0,000031","5,28E+00","7,779917E-03"
"49,51","2,10E-02","0,000031","5,28E+00","7,779929E-03"
"50,528","2,10E-02","0,000031","5,28E+00","7,779921E-03"
"51,548","2,11E-02","0,000031","5,29E+00","7,779765E-03"
"52,552","2,11E-02","0,000031","5,29E+00","7,779846E-03"
"53,556","2,10E-02","0,000031","5,27E+00","7,779967E-03"
"54,574","2,10E-02","0,000031","5,28E+00","7,779911E-03"
"55,594","2,11E-02","0,000031","5,29E+00","7,779809E-03"
"56,61","2,11E-02","0,000031","5,29E+00","7,779793E-03"
"57,63","2,11E-02","0,000031","5,29E+00","7,779831E-03"
"58,648","2,10E-02","0,000031","5,27E+00","7,779969E-03"
"59,668","2,10E-02","0,000031","5,27E+00","7,780038E-03"
"60,684","2,10E-02","0,000031","5,27E+00","7,779957E-03"
"61,702","2,10E-02","0,000031","5,28E+00","7,779911E-03"
"62,718","2,10E-02","0,000031","5,26E+00","7,780103E-03"
"63,738","2,10E-02","0,000031","5,27E+00","7,780036E-03"
"64,742","2,10E-02","0,000031","5,26E+00","7,780088E-03"
"65,746","2,09E-02","0,000031","5,25E+00","7,780235E-03"
"66,81","2,09E-02","0,000031","5,25E+00","7,780238E-03"
"67,878","2,09E-02","0,000031","5,25E+00","7,780206E-03"
"68,912","2,09E-02","0,000031","5,25E+00","7,780225E-03"
"69,914","2,09E-02","0,000031","5,24E+00","7,780316E-03"
"70,936","2,08E-02","0,000031","5,23E+00","7,780389E-03"
"71,952","2,08E-02","0,000031","5,23E+00","7,780380E-03"
"72,97","2,08E-02","0,000031","5,23E+00","7,780449E-03"
"73,976","2,08E-02","0,000031","5,23E+00","7,780394E-03"
"75,008","2,08E-02","0,000031","5,22E+00","7,780499E-03"
"76,014","2,08E-02","0,000031","5,22E+00","7,780558E-03"
"77,032","2,08E-02","0,000031","5,22E+00","7,780550E-03"
"78,038","2,08E-02","0,000031","5,22E+00","7,780528E-03"
"79,056","2,08E-02","0,000031","5,21E+00","7,780564E-03"
"80,06","2,07E-02","0,000031","5,20E+00","7,780689E-03"
"81,08","2,07E-02","0,000031","5,21E+00","7,780640E-03"
"82,086","2,07E-02","0,000031","5,21E+00","7,780653E-03"
"83,104","2,07E-02","0,000031","5,20E+00","7,780687E-03"
"84,126","2,07E-02","0,000031","5,21E+00","7,780636E-03"
"85,144","2,07E-02","0,000031","5,20E+00","7,780708E-03"
"86,148","2,07E-02","0,000031","5,19E+00","7,780818E-03"
"87,166","2,06E-02","0,000031","5,18E+00","7,780977E-03"
"88,186","2,06E-02","0,000031","5,17E+00","7,781029E-03"
"89,204","2,05E-02","0,000031","5,16E+00","7,781187E-03"
"90,212","2,05E-02","0,000031","5,16E+00","7,781178E-03"
"91,23","2,06E-02","0,000031","5,16E+00","7,781084E-03"
"92,27","2,05E-02","0,000031","5,16E+00","7,781163E-03"
"93,272","2,05E-02","0,00003","5,14E+00","7,530297E-03"
"94,276","2,05E-02","0,00003","5,14E+00","7,530349E-03"
"95,296","2,04E-02","0,00003","5,13E+00","7,530455E-03"
"96,318","2,04E-02","0,00003","5,12E+00","7,530569E-03"
"97,32","2,04E-02","0,00003","5,12E+00","7,530540E-03"
"98,34","2,04E-02","0,00003","5,12E+00","7,530574E-03"
"99,356","2,04E-02","0,00003","5,11E+00","7,530618E-03"
"100,38","2,03E-02","0,00003","5,11E+00","7,530680E-03"
"101,384","2,03E-02","0,00003","5,09E+00","7,530843E-03"
"102,382","2,03E-02","0,00003","5,09E+00","7,530818E-03"
"103,384","2,03E-02","0,00003","5,11E+00","7,530686E-03"
"104,42","2,04E-02","0,00003","5,11E+00","7,530665E-03"
"105,438","2,03E-02","0,00003","5,11E+00","7,530677E-03"
"106,456","2,03E-02","0,00003","5,09E+00","7,530906E-03"
"107,472","2,02E-02","0,00003","5,07E+00","7,531059E-03"
"108,476","2,02E-02","0,00003","5,07E+00","7,531095E-03"
"109,494","2,02E-02","0,00003","5,07E+00","7,531112E-03"
"110,514","2,02E-02","0,00003","5,06E+00","7,531159E-03"
"111,532","2,01E-02","0,00003","5,05E+00","7,531310E-03"
"112,552","2,01E-02","0,00003","5,05E+00","7,531264E-03"
"113,552","2,01E-02","0,00003","5,06E+00","7,531215E-03"
"114,556","2,01E-02","0,00003","5,04E+00","7,531426E-03"
"115,576","2,01E-02","0,00003","5,04E+00","7,531409E-03"
"116,586","2,00E-02","0,00003","5,03E+00","7,531507E-03"
"117,618","2,00E-02","0,00003","5,02E+00","7,531576E-03"
"118,64","2,00E-02","0,00003","5,01E+00","7,531708E-03"
"119,646","1,99E-02","0,00003","5,01E+00","7,531730E-03"
"120,648","2,00E-02","0,00003","5,01E+00","7,531704E-03"
"121,668","1,99E-02","0,00003","5,00E+00","7,531776E-03"
"122,688","1,99E-02","0,00003","4,99E+00","7,531893E-03"
"123,704","1,99E-02","0,00003","4,99E+00","7,531937E-03"
"124,71","1,99E-02","0,00003","4,99E+00","7,531933E-03"
"125,714","1,98E-02","0,00003","4,98E+00","7,532008E-03"
"126,732","1,98E-02","0,00003","4,98E+00","7,532011E-03"
"127,75","1,99E-02","0,00003","4,99E+00","7,531931E-03"
"128,754","1,97E-02","0,00003","4,96E+00","7,532301E-03"
"129,834","1,98E-02","0,00003","4,96E+00","7,532265E-03"
"130,886","1,97E-02","0,00003","4,94E+00","7,532430E-03"
"131,934","1,97E-02","0,00003","4,94E+00","7,532506E-03"
"132,952","1,97E-02","0,00003","4,94E+00","7,532490E-03"
"133,968","1,96E-02","0,00003","4,93E+00","7,532553E-03"
"134,986","1,96E-02","0,00003","4,93E+00","7,532638E-03"
"135,988","1,96E-02","0,00003","4,92E+00","7,532671E-03"
"136,99","1,96E-02","0,00003","4,91E+00","7,532830E-03"
"137,992","1,95E-02","0,00003","4,90E+00","7,532883E-03"
"138,994","1,95E-02","0,000029","4,89E+00","7,281898E-03"
"140,014","1,95E-02","0,000029","4,89E+00","7,281940E-03"
"141,032","1,94E-02","0,000029","4,88E+00","7,282044E-03"
"142,048","1,94E-02","0,000029","4,86E+00","7,282280E-03"
